PG,PGC,LOT,PD,WF
211,5,280187,97,4197509
211,5,280187,97,4197513
211,5,118,97,665
211,5,280176,97,4197294
211,5,280176,97,4197311
211,5,280177,97,4197327
211,5,280177,97,4197330
211,5,280177,97,4197336
211,5,280177,97,4197344
211,5,280178,97,4197356
211,5,280178,97,4197362
211,5,113,97,535
211,5,113,97,547
211,5,115,97,576
211,5,115,97,567
211,5,115,97,575
211,5,115,97,569
211,5,113,97,566
211,5,115,97,572
211,5,115,97,579
211,5,115,97,571
211,5,116,97,600
211,5,115,97,585
211,5,116,97,591
211,5,116,97,595
216,5,279076,99,4179249
216,5,279076,99,4179250
216,5,279076,99,4179252
216,5,279074,99,4179253
216,5,117,99,637
216,5,279071,99,4179168
216,5,279072,99,4179201
216,5,279072,99,4179215
216,5,279074,99,4179226
216,5,279074,99,4179235
216,5,279074,99,4179236
216,5,279074,99,4179237
216,5,279076,99,4179244
216,5,279076,99,4179247
216,5,1192,99,10939
216,5,1192,99,10985
216,5,279071,99,4179172
216,5,279071,99,4179173
216,5,1192,99,10955
216,5,279071,99,4179182
216,5,279072,99,4179195
216,5,279072,99,4179202
216,5,279072,99,4179206
216,5,279072,99,4179208
216,5,279072,99,4179210
216,5,279072,99,4179217
229,5,360284,104,5386034
248,5,359627,119,5385885
248,5,359627,119,5386020
248,5,359567,119,5388646
248,5,359567,119,5389104
250,5,361657,120,5390307
251,5,360044,121,5386077
251,5,360044,121,5386136
252,5,360346,121,5387826
253,5,361766,122,5390420
259,5,361844,124,5390495
259,5,361804,124,5390349
259,5,361487,124,5388907
259,5,361648,124,5389575
260,5,257778,96,3813826
895,2,34,416,55
932,2,111301,443,5388020
942,2,34,450,55
942,2,34,450,55
1089,1,341087,156,5263765
1129,2,136443,11720,1181713
1129,2,136443,11720,1181719
1129,2,52735,11720,1181720
1129,2,16664,11720,1181665
1129,2,136440,11720,1181666
1129,2,87019,12657,1181963
1129,2,136440,11720,1181683
1129,2,136446,11720,1181740
1129,2,136440,11720,1181685
1129,2,136446,11720,1181749
1129,2,86996,11720,1181674
1208,5,249311,625,5388745
1208,5,249311,625,5388027
1210,5,359664,625,5388125
1214,5,361664,628,5390480
1215,5,361429,627,5388902
1215,5,361429,627,5390776
1385,12,115618,443,5388279
1390,5,360925,638,5387684
1391,5,360925,638,5388274
1437,5,359565,643,5386545
1465,3,359284,183,5380061
1477,5,359564,646,5385888
1479,12,243113,486,5390092
1479,12,243113,486,5390385
1479,12,243113,486,5390385
1509,5,360004,647,5386143
1509,5,360004,647,5386079
1509,5,359605,647,5386512
1551,5,361691,650,5390182
1551,5,361411,650,5390566
1551,5,361411,650,5389594
1637,5,360385,657,5386590
1637,5,360385,657,5388951
1665,5,361385,676,5388898
1683,5,359964,690,5386038
1683,5,359964,690,5386276
1686,5,268190,693,3993420
1686,5,268190,693,3993427
1686,5,268194,693,3993436
1687,5,360508,694,5386870
1697,5,361407,702,5389603
1697,5,278610,702,4195609
1697,5,278610,702,4195606
1697,5,361407,702,5389758
1709,5,360984,732,5388651
1709,5,360485,732,5386461
1721,5,361444,734,5390156
1721,5,361444,734,5390168
1801,5,361205,821,5388110
1811,5,283599,15,4257626
1811,5,283597,15,4257589
1811,5,283596,15,4257572
1811,5,283597,15,4257592
1811,5,283596,15,4257564
1811,5,283597,15,4257597
1811,5,283597,15,4257599
1811,5,283597,15,4257597
1811,5,283596,15,4257564
1811,5,283597,15,4257591
1811,5,283596,15,4257577
1811,5,283597,15,4257594
1811,5,283597,15,4257588
1811,5,283597,15,4257611
1811,5,283597,15,4257603
1811,5,283599,15,4257625
1811,5,283599,15,4257630
1811,5,283599,15,4257632
1811,5,283599,15,4257613
1811,5,283599,15,4257615
1811,5,283596,15,4257580
1811,5,283596,15,4257575
1812,5,283596,15,4257573
1812,5,283596,15,4257581
1812,5,283596,15,4257578
1812,5,283596,15,4257576
1812,5,283596,15,4257571
1812,5,283596,15,4257575
1812,5,283597,15,4257593
1813,5,360024,15,5385972
1813,5,360024,15,5385973
1813,5,360024,15,5385891
1820,5,275139,831,4120178
1834,5,133868,836,1176508
1846,5,361224,843,5389074
1846,5,361224,843,5389188
1847,5,286882,66,4318514
1847,5,286885,66,4318591
1847,5,286882,66,4318521
1847,5,286882,66,4318516
1847,5,286885,66,4318585
1847,5,286885,66,4318588
1869,5,135600,853,1181744
1884,5,361206,866,5388482
1886,5,361206,866,5389009
1886,5,361206,866,5388785
1886,5,361206,866,5388305
1886,5,361206,866,5388694
1898,5,147828,874,3513049
1898,5,147828,874,3513047
1898,5,147828,874,1307215
1898,5,147828,874,3513051
1898,5,147828,874,1307206
1898,5,147828,874,3513052
1898,5,147828,874,3513053
1898,5,147828,874,3513054
1898,5,147828,874,3513055
1898,5,147828,874,3513056
1898,5,147828,874,3513057
1898,5,147828,874,1307210
1898,5,147828,874,3513058
1898,5,147828,874,3513059
1898,5,147828,874,3513060
1898,5,147828,874,1307211
1898,5,147828,874,3513046
1898,5,147828,874,3513045
1898,5,147828,874,3513044
1898,5,147828,874,3513043
1898,5,147828,874,3513040
1898,5,147828,874,3513042
1898,5,147828,874,3513041
1898,5,147828,874,3513048
1898,5,147828,874,3513050
1942,5,360464,5628,5386391
1942,5,360464,5628,5386390
1942,5,360464,5628,5386393
1942,5,360464,5628,5386394
1942,5,360464,5628,5386395
1942,5,360464,5628,5386396
1942,5,360464,5628,5386397
1942,5,360464,5628,5386398
1942,5,360464,5628,5386399
1942,5,360464,5628,5386400
1942,5,360464,5628,5386401
1942,5,360464,5628,5386402
1942,5,360464,5628,5386403
1942,5,360464,5628,5386404
1942,5,360464,5628,5386405
1942,5,360464,5628,5386406
1942,5,360464,5628,5386407
1942,5,360464,5628,5386408
1942,5,360464,5628,5386409
1942,5,360464,5628,5386410
1942,5,360464,5628,5386386
1942,5,360464,5628,5386387
1942,5,360464,5628,5386388
1942,5,360464,5628,5386389
1942,5,360464,5628,5386392
1974,5,362172,981,5391058
1974,5,362172,981,5391059
